"repo","state","creator","assignees","message","labels","created_at","updated_at","closed_at","comments","milestone","url","duration"
"ecommerceberlin/targiehandlu.pl","closed","az","az","fix responsiveness on voting category page widget $240$","enhancement","2021-09-09","2021-09-09","2021-09-09",2,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/95",19
"ecommerceberlin/admin","closed","az","az","add sentry monitoring","maintenance","2021-08-25","2021-08-25","2021-08-25",1,"","https://github.com/ecommerceberlin/admin/issues/54",0
"ecommerceberlin/admin","closed","az","az","tickets: use sales data for ticket status $0$","duplicate","2021-08-24","2021-08-25","2021-08-25",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/33",2119
"ecommerceberlin/admin","closed","az","az","tickets: add ticket group data to ticket data (example: ticket group name) $30$","api, tickets","2021-08-24","2021-08-25","2021-08-25",1,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/49",1727
"ecommerceberlin/admin","closed","az","az","tickets: merge ticket and ticket group tags $30$","enhancement, tickets, admin","2021-08-25","2021-08-25","2021-08-25",1,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/53",26
"ecommerceberlin/admin","closed","az","az","tickets: show/quick preview counts in cancelled orders","bug","2021-08-25","2021-08-25","2021-08-25",1,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/52",8
"ecommerceberlin/ecommerceberlin.com","closed","az","az","setup zapier for monitoring owned social media channels via slack $30$","enhancement","2021-09-08","2021-09-08","2021-09-08",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/60",0
"ecommerceberlin/ecommerceberlin.com","closed","az","jprzybylski4","confirm or choose other icons for CFP voting categories ","","2021-09-08","2021-09-08","2021-09-08",1,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/59",54
"ecommerceberlin/ecommerceberlin.com","closed","peterecommberlin","az","GENERAL - fix the event date in the visitor confirmation email ","","2021-08-30","2021-09-02","2021-09-02",1,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/58",4229
"eventjuicer/services","open","jprzybylski4","","CFP emails","","2021-09-10","2021-09-10","",0,"","https://github.com/eventjuicer/services/pull/25",0
"ecommerceberlin/admin","open","az","az","ticket - upselling idea overhaul ","tickets, admin","2021-09-01","2021-09-01","",0,"","https://github.com/ecommerceberlin/admin/issues/57",0
"ecommerceberlin/admin","open","az","az","tickets list - not used filter (end date in the past - sold 0)","enhancement","2021-09-01","2021-09-01","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/56",0
"ecommerceberlin/admin","open","az","az","context switcher: do not autosubmit event  - require confirmation","enhancement, admin","2021-08-26","2021-08-26","",0,"","https://github.com/ecommerceberlin/admin/issues/55",0
"ecommerceberlin/admin","open","az","az","tickets: list view / quicklookup - show 5 most recent participants with ticket","api, tickets","2021-08-24","2021-08-25","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/25",0
"ecommerceberlin/admin","open","az","az","tickets (api): handle filtering participants by ticket_id(s)","api, tickets","2021-08-24","2021-08-25","",0,"","https://github.com/ecommerceberlin/admin/issues/26",0
"ecommerceberlin/admin","open","az","az","TICKETs migration","","2021-08-12","2021-08-25","",0,"","https://github.com/ecommerceberlin/admin/issues/15",0
"ecommerceberlin/ecommerceberlin.com","open","jprzybylski4","","Change the featured image graphic while sharing /speaking page","","2021-09-09","2021-09-09","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/61",0
"ecommerceberlin/ecommerceberlin.com","open","jprzybylski4","","Change CFP opengraph template for Profile sharing","","2021-08-27","2021-08-27","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/57",0
