"repo","state","creator","assignees","message","labels","created_at","updated_at","closed_at","comments","milestone","url","duration","bill"
"eventjuicer/services","closed","jprzybylski4","","EGA submission emails","","2021-11-10","2021-11-17","2021-11-17",0,"","https://github.com/eventjuicer/services/pull/28",9758,0
"ecommerceberlin/ecommerceberlin.com","closed","jprzybylski4","az","Enable ""add representatives"" section on the Exhibitor's Profile","","2021-12-03","2021-12-06","2021-12-06",1,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/99",3293,0
"ecommerceberlin/ecommerceberlin.com","closed","az","az","Send EGA submission emails $30$","maintenance","2021-11-15","2021-11-17","2021-11-17",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/95",2952,30
"ecommerceberlin/ecommercegermanyawards.com","closed","jprzybylski4","jprzybylski4","Add banner directing to EBE registration page","invalid","2021-12-01","2021-12-06","2021-12-06",6,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/89",6150,0
"ecommerceberlin/ecommercegermanyawards.com","closed","jprzybylski4","","EGA voting bug","","2021-12-01","2021-12-01","2021-12-01",2,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/88",25,0
"ecommerceberlin/ecommercegermanyawards.com","closed","jprzybylski4","","EGA vote page bug","","2021-11-29","2021-11-30","2021-11-30",1,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/83",536,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","jprzybylski4","translate /vote","translations","2021-11-22","2021-11-30","2021-11-30",1,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/82",11516,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","clear markdown on https://ecommercegermanyawards.com/legal/personal-data","bug","2021-11-30","2021-11-30","2021-11-30",1,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/85",1,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","create and configure new linkedin app for EGA voting process $60$","","2021-11-30","2021-11-30","2021-11-30",0,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/84",0,60
"ecommerceberlin/event.ecommerceberlin.com","open","az","jprzybylski4","business rules for showing vouchers assignment","","2021-11-10","2021-11-22","",1,"","https://github.com/ecommerceberlin/event.ecommerceberlin.com/issues/11",0,0
"ecommerceberlin/ecommerceberlin.com","open","jprzybylski4","","Promoninja - prizes","","2021-12-03","2021-12-03","",2,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/101",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","jprzybylski4","presentation topic categories + color","","2021-08-10","2021-12-03","",1,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/43",0,0
"ecommerceberlin/ecommerceberlin.com","open","jprzybylski4","","Enable agenda widget on the website ","","2021-12-03","2021-12-03","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/98",0,0
"ecommerceberlin/ecommerceberlin.com","open","jprzybylski4","az","Add banner to EGA page","","2021-12-01","2021-12-02","",7,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/97",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","az, jprzybylski4","more profile info for ticket download page","","2021-11-10","2021-11-24","",2,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/94",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","jprzybylski4","application bug reporting template","bug","2021-11-24","2021-11-24","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/96",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","jprzybylski4","verify vip registration form  https://ecommerceberlin.com/vip","","2021-11-10","2021-11-22","",1,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/93",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","jprzybylski4","scanner ""app"" info email - based on teh20 template","translations","2021-11-05","2021-11-22","",1,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/89",0,0
"ecommerceberlin/targiehandlu.pl","open","az","az","match blocking with company ","","2021-11-24","2021-11-24","",0,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/103",0,0
"ecommerceberlin/targiehandlu.pl","open","az","az","match blocking ID with purchase","","2021-11-24","2021-11-24","",0,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/102",0,0
"ecommerceberlin/targiehandlu.pl","open","az","az","fix hardcoded domain in console/apiCall","bug","2021-11-18","2021-11-18","",0,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/101",0,0
"ecommerceberlin/targiehandlu.pl","open","az","az","blockings should be also counted in ticket limits?","","2021-11-18","2021-11-18","",0,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/100",0,0
"ecommerceberlin/targiehandlu.pl","open","az","az","add to cart button should force checking current state... ","","2021-11-18","2021-11-18","",0,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/99",0,0
"ecommerceberlin/targiehandlu.pl","open","az","az","save timestamps of data fetching","","2021-11-18","2021-11-18","",0,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/98",0,0
"ecommerceberlin/ecommercegermanyawards.com","open","az","az","add can vote api endpoint to handle voting button visibility automatically","enhancement","2021-12-01","2021-12-01","",0,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/87",0,0
"ecommerceberlin/ecommercegermanyawards.com","open","az","az","move max_votes configuration to settings","enhancement","2021-12-01","2021-12-01","",0,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/86",0,0
